Unofficial Name,Name,Actual Precedence,Precedence[ ],Precedence[ ] Corrected,WolframLanguageData[ ],WolframLanguageData[ ] Corrected,UnicodeCharacters.tr,UnicodeCharacters.tr Corrected,N Tokens,L Tokens,O Tokens,Usage,Parse,FullForm,Arity,Affix,Associativity,Meaningful,Comments
NotLessLess,NotLessLess,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotLessLess"", ""["", ""x"", "","", ""y"", ""]""}","NotLessLess[x, y]",Binary,Infix,None,False,
NotLessSlantEqual,NotLessSlantEqual,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotLessSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotLessSlantEqual[x, y]",Binary,Infix,None,False,
NotLessTilde,NotLessTilde,360,290,290,,50.0,390,390,{},"{""≴""}",{},"{{""x"", ""≴"", ""y""}}","{""NotLessTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotLessTilde[x, y]",Binary,Infix,None,False,
NotNestedGreaterGreater,NotNestedGreaterGreater,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotNestedGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}","NotNestedGreaterGreater[x, y]",Binary,Infix,None,False,
NotNestedLessLess,NotNestedLessLess,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotNestedLessLess"", ""["", ""x"", "","", ""y"", ""]""}","NotNestedLessLess[x, y]",Binary,Infix,None,False,
NotPrecedes,NotPrecedes,360,290,290,,50.0,390,390,{},"{""⊀""}",{},"{{""x"", ""⊀"", ""y""}}","{""NotPrecedes"", ""["", ""x"", "","", ""y"", ""]""}","NotPrecedes[x, y]",Binary,Infix,None,False,
NotPrecedesEqual,NotPrecedesEqual,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotPrecedesEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotPrecedesEqual[x, y]",Binary,Infix,None,False,
NotPrecedesSlantEqual,NotPrecedesSlantEqual,360,290,290,,50.0,390,390,{},"{""⋠""}",{},"{{""x"", ""⋠"", ""y""}}","{""NotPrecedesSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotPrecedesSlantEqual[x, y]",Binary,Infix,None,False,
NotPrecedesTilde,NotPrecedesTilde,360,290,290,,50.0,390,390,{},"{""⋨""}",{},"{{""x"", ""⋨"", ""y""}}","{""NotPrecedesTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotPrecedesTilde[x, y]",Binary,Infix,None,False,
NotRightTriangle,NotRightTriangle,360,290,290,,50.0,390,390,{},"{""⋫""}",{},"{{""x"", ""⋫"", ""y""}}","{""NotRightTriangle"", ""["", ""x"", "","", ""y"", ""]""}","NotRightTriangle[x, y]",Binary,Infix,None,False,
NotRightTriangleBar,NotRightTriangleBar,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotRightTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}","NotRightTriangleBar[x, y]",Binary,Infix,None,False,
NotRightTriangleEqual,NotRightTriangleEqual,360,290,290,,50.0,390,390,{},"{""⋭""}",{},"{{""x"", ""⋭"", ""y""}}","{""NotRightTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotRightTriangleEqual[x, y]",Binary,Infix,None,False,
NotSucceeds,NotSucceeds,360,290,290,,50.0,390,390,{},"{""⊁""}",{},"{{""x"", ""⊁"", ""y""}}","{""NotSucceeds"", ""["", ""x"", "","", ""y"", ""]""}","NotSucceeds[x, y]",Binary,Infix,None,False,
NotSucceedsEqual,NotSucceedsEqual,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotSucceedsEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSucceedsEqual[x, y]",Binary,Infix,None,False,
NotSucceedsSlantEqual,NotSucceedsSlantEqual,360,290,290,,50.0,390,390,{},"{""⋡""}",{},"{{""x"", ""⋡"", ""y""}}","{""NotSucceedsSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSucceedsSlantEqual[x, y]",Binary,Infix,None,False,
NotSucceedsTilde,NotSucceedsTilde,360,290,290,,50.0,390,390,{},"{""⋩""}",{},"{{""x"", ""⋩"", ""y""}}","{""NotSucceedsTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotSucceedsTilde[x, y]",Binary,Infix,None,False,
NotTilde,NotTilde,360,290,290,,50.0,390,390,{},"{""≁""}",{},"{{""x"", ""≁"", ""y""}}","{""NotTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotTilde[x, y]",Binary,Infix,None,False,
NotTildeEqual,NotTildeEqual,360,290,290,,50.0,390,390,{},"{""≄""}",{},"{{""x"", ""≄"", ""y""}}","{""NotTildeEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotTildeEqual[x, y]",Binary,Infix,None,False,
NotTildeFullEqual,NotTildeFullEqual,360,290,290,,50.0,390,390,{},"{""≇""}",{},"{{""x"", ""≇"", ""y""}}","{""NotTildeFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotTildeFullEqual[x, y]",Binary,Infix,None,False,
NotTildeTilde,NotTildeTilde,360,290,290,,50.0,390,390,{},"{""≉""}",{},"{{""x"", ""≉"", ""y""}}","{""NotTildeTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotTildeTilde[x, y]",Binary,Infix,None,False,
Precedes,Precedes,360,290,290,,50.0,390,390,{},"{""≺""}",{},"{{""x"", ""≺"", ""y""}}","{""Precedes"", ""["", ""x"", "","", ""y"", ""]""}","Precedes[x, y]",Binary,Infix,None,False,
PrecedesEqual,PrecedesEqual,360,290,290,,50.0,390,390,{},"{""⪯""}",{},"{{""x"", ""⪯"", ""y""}}","{""PrecedesEqual"", ""["", ""x"", "","", ""y"", ""]""}","PrecedesEqual[x, y]",Binary,Infix,None,False,
PrecedesSlantEqual,PrecedesSlantEqual,360,290,290,,50.0,390,390,{},"{""≼""}",{},"{{""x"", ""≼"", ""y""}}","{""PrecedesSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","PrecedesSlantEqual[x, y]",Binary,Infix,None,False,
PrecedesTilde,PrecedesTilde,360,290,290,,50.0,390,390,{},"{""≾""}",{},"{{""x"", ""≾"", ""y""}}","{""PrecedesTilde"", ""["", ""x"", "","", ""y"", ""]""}","PrecedesTilde[x, y]",Binary,Infix,None,False,
Proportion,Proportion,360,290,290,,50.0,390,390,{},"{""∷""}",{},"{{""x"", ""∷"", ""y""}}","{""Proportion"", ""["", ""x"", "","", ""y"", ""]""}","Proportion[x, y]",Binary,Infix,None,False,
Proportional,Proportional,360,290,290,,50.0,390,390,{},"{""∝""}",{},"{{""x"", ""∝"", ""y""}}","{""Proportional"", ""["", ""x"", "","", ""y"", ""]""}","Proportional[x, y]",Binary,Infix,None,False,
ReverseEquilibrium,ReverseEquilibrium,360,290,290,,50.0,390,390,{},"{""⇋""}",{},"{{""x"", ""⇋"", ""y""}}","{""ReverseEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}","ReverseEquilibrium[x, y]",Binary,Infix,None,False,
RightTriangle,RightTriangle,360,290,290,,50.0,390,390,{},"{""⊳""}",{},"{{""x"", ""⊳"", ""y""}}","{""RightTriangle"", ""["", ""x"", "","", ""y"", ""]""}","RightTriangle[x, y]",Binary,Infix,None,False,
RightTriangleBar,RightTriangleBar,360,290,290,,50.0,390,390,{},"{""⧐""}",{},"{{""x"", ""⧐"", ""y""}}","{""RightTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}","RightTriangleBar[x, y]",Binary,Infix,None,False,
RightTriangleEqual,RightTriangleEqual,360,290,290,,50.0,390,390,{},"{""⊵""}",{},"{{""x"", ""⊵"", ""y""}}","{""RightTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}","RightTriangleEqual[x, y]",Binary,Infix,None,False,
Succeeds,Succeeds,360,290,290,,50.0,390,390,{},"{""≻""}",{},"{{""x"", ""≻"", ""y""}}","{""Succeeds"", ""["", ""x"", "","", ""y"", ""]""}","Succeeds[x, y]",Binary,Infix,None,False,
SucceedsEqual,SucceedsEqual,360,290,290,,50.0,390,390,{},"{""⪰""}",{},"{{""x"", ""⪰"", ""y""}}","{""SucceedsEqual"", ""["", ""x"", "","", ""y"", ""]""}","SucceedsEqual[x, y]",Binary,Infix,None,False,
SucceedsSlantEqual,SucceedsSlantEqual,360,290,290,,50.0,390,390,{},"{""≽""}",{},"{{""x"", ""≽"", ""y""}}","{""SucceedsSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","SucceedsSlantEqual[x, y]",Binary,Infix,None,False,
SucceedsTilde,SucceedsTilde,360,290,290,,50.0,390,390,{},"{""≿""}",{},"{{""x"", ""≿"", ""y""}}","{""SucceedsTilde"", ""["", ""x"", "","", ""y"", ""]""}","SucceedsTilde[x, y]",Binary,Infix,None,False,
Tilde,Tilde,360,290,290,,50.0,390,390,{},"{""∼""}",{},"{{""x"", ""∼"", ""y""}}","{""Tilde"", ""["", ""x"", "","", ""y"", ""]""}","Tilde[x, y]",Binary,Infix,None,False,
TildeEqual,TildeEqual,360,290,290,,50.0,390,390,{},"{""≃""}",{},"{{""x"", ""≃"", ""y""}}","{""TildeEqual"", ""["", ""x"", "","", ""y"", ""]""}","TildeEqual[x, y]",Binary,Infix,None,False,
TildeFullEqual,TildeFullEqual,360,290,290,,50.0,390,390,{},"{""≅""}",{},"{{""x"", ""≅"", ""y""}}","{""TildeFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","TildeFullEqual[x, y]",Binary,Infix,None,False,
TildeTilde,TildeTilde,360,290,290,,50.0,390,390,{},"{""≈""}",{},"{{""x"", ""≈"", ""y""}}","{""TildeTilde"", ""["", ""x"", "","", ""y"", ""]""}","TildeTilde[x, y]",Binary,Infix,None,False,
Unequal,Unequal,360,290,290,50,50.0,390,390,{},"{""!="", ""≠""}",{},"{{""expr1"", ""!="", ""expr2""}, {""expr1"", ""≠"", ""expr2""}}","{""Unequal"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Unequal[expr1, expr2]",Binary,Infix,None,True,
DoubleVerticalBar,DoubleVerticalBar,350,280,280,50,50.5,390,385,{},"{""∥""}",{},"{{""expr1"", ""∥"", ""expr2""}}","{""DoubleVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DoubleVerticalBar[expr1, expr2]",Binary,Infix,None,False,
NotDoubleVerticalBar,NotDoubleVerticalBar,350,280,280,50,50.5,390,385,{},"{""∦""}",{},"{{""expr1"", ""∦"", ""expr2""}}","{""NotDoubleVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}","NotDoubleVerticalBar[expr1, expr2]",Binary,Infix,None,False,
NotVerticalBar,NotVerticalBar,350,280,280,50,50.5,390,385,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""NotVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}","NotVerticalBar[expr1, expr2]",Binary,Infix,None,False,
VerticalBar,VerticalBar,350,280,280,50,50.5,390,385,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""VerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}","VerticalBar[expr1, expr2]",Binary,Infix,None,False,
DoubleLeftArrow,DoubleLeftArrow,340,270,270,,50.6,380,380,{},"{""⇐""}",{},"{{""x"", ""⇐"", ""y""}}","{""DoubleLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","DoubleLeftArrow[x, y]",Binary,Infix,None,False,
DoubleLeftRightArrow,DoubleLeftRightArrow,340,270,270,,50.6,380,380,{},"{""⇔""}",{},"{{""x"", ""⇔"", ""y""}}","{""DoubleLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","DoubleLeftRightArrow[x, y]",Binary,Infix,None,False,
DoubleRightArrow,DoubleRightArrow,340,270,270,,50.6,380,380,{},"{""⇒""}",{},"{{""x"", ""⇒"", ""y""}}","{""DoubleRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","DoubleRightArrow[x, y]",Binary,Infix,None,False,
DownLeftRightVector,DownLeftRightVector,340,270,270,,50.6,380,380,{},"{""⥐""}",{},"{{""x"", ""⥐"", ""y""}}","{""DownLeftRightVector"", ""["", ""x"", "","", ""y"", ""]""}","DownLeftRightVector[x, y]",Binary,Infix,None,False,
DownLeftTeeVector,DownLeftTeeVector,340,270,270,,50.6,380,380,{},"{""⥞""}",{},"{{""x"", ""⥞"", ""y""}}","{""DownLeftTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","DownLeftTeeVector[x, y]",Binary,Infix,None,False,
DownLeftVector,DownLeftVector,340,270,270,,50.6,380,380,{},"{""↽""}",{},"{{""x"", ""↽"", ""y""}}","{""DownLeftVector"", ""["", ""x"", "","", ""y"", ""]""}","DownLeftVector[x, y]",Binary,Infix,None,False,
DownLeftVectorBar,DownLeftVectorBar,340,270,270,,50.6,380,380,{},"{""⥖""}",{},"{{""x"", ""⥖"", ""y""}}","{""DownLeftVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","DownLeftVectorBar[x, y]",Binary,Infix,None,False,
DownRightTeeVector,DownRightTeeVector,340,270,270,,50.6,380,380,{},"{""⥟""}",{},"{{""x"", ""⥟"", ""y""}}","{""DownRightTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","DownRightTeeVector[x, y]",Binary,Infix,None,False,
DownRightVector,DownRightVector,340,270,270,,50.6,380,380,{},"{""⇁""}",{},"{{""x"", ""⇁"", ""y""}}","{""DownRightVector"", ""["", ""x"", "","", ""y"", ""]""}","DownRightVector[x, y]",Binary,Infix,None,False,
DownRightVectorBar,DownRightVectorBar,340,270,270,,50.6,380,380,{},"{""⥗""}",{},"{{""x"", ""⥗"", ""y""}}","{""DownRightVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","DownRightVectorBar[x, y]",Binary,Infix,None,False,
LeftArrow,LeftArrow,340,270,270,,50.6,380,380,{},"{""←""}",{},"{{""x"", ""←"", ""y""}}","{""LeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftArrow[x, y]",Binary,Infix,None,False,
LeftArrowBar,LeftArrowBar,340,270,270,,50.6,380,380,{},"{""⇤""}",{},"{{""x"", ""⇤"", ""y""}}","{""LeftArrowBar"", ""["", ""x"", "","", ""y"", ""]""}","LeftArrowBar[x, y]",Binary,Infix,None,False,
LeftArrowRightArrow,LeftArrowRightArrow,340,270,270,,50.6,380,380,{},"{""⇆""}",{},"{{""x"", ""⇆"", ""y""}}","{""LeftArrowRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftArrowRightArrow[x, y]",Binary,Infix,None,False,
LeftRightArrow,LeftRightArrow,340,270,270,,50.6,380,380,{},"{""↔""}",{},"{{""x"", ""↔"", ""y""}}","{""LeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftRightArrow[x, y]",Binary,Infix,None,False,
LeftRightVector,LeftRightVector,340,270,270,,50.6,380,380,{},"{""⥎""}",{},"{{""x"", ""⥎"", ""y""}}","{""LeftRightVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftRightVector[x, y]",Binary,Infix,None,False,
LeftTeeArrow,LeftTeeArrow,340,270,270,,50.6,380,380,{},"{""↤""}",{},"{{""x"", ""↤"", ""y""}}","{""LeftTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftTeeArrow[x, y]",Binary,Infix,None,False,
LeftTeeVector,LeftTeeVector,340,270,270,,50.6,380,380,{},"{""⥚""}",{},"{{""x"", ""⥚"", ""y""}}","{""LeftTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftTeeVector[x, y]",Binary,Infix,None,False,
LeftVector,LeftVector,340,270,270,,50.6,380,380,{},"{""↼""}",{},"{{""x"", ""↼"", ""y""}}","{""LeftVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftVector[x, y]",Binary,Infix,None,False,
LeftVectorBar,LeftVectorBar,340,270,270,,50.6,380,380,{},"{""⥒""}",{},"{{""x"", ""⥒"", ""y""}}","{""LeftVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","LeftVectorBar[x, y]",Binary,Infix,None,False,
LowerLeftArrow,LowerLeftArrow,340,270,270,,50.6,380,380,{},"{""↙""}",{},"{{""x"", ""↙"", ""y""}}","{""LowerLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","LowerLeftArrow[x, y]",Binary,Infix,None,False,
LowerRightArrow,LowerRightArrow,340,270,270,,50.6,380,380,{},"{""↘""}",{},"{{""x"", ""↘"", ""y""}}","{""LowerRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LowerRightArrow[x, y]",Binary,Infix,None,False,
RightArrow,RightArrow,340,270,270,,50.6,380,380,{},"{""→""}",{},"{{""x"", ""→"", ""y""}}","{""RightArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightArrow[x, y]",Binary,Infix,None,False,
RightArrowBar,RightArrowBar,340,270,270,,50.6,380,380,{},"{""⇥""}",{},"{{""x"", ""⇥"", ""y""}}","{""RightArrowBar"", ""["", ""x"", "","", ""y"", ""]""}","RightArrowBar[x, y]",Binary,Infix,None,False,
RightArrowLeftArrow,RightArrowLeftArrow,340,270,270,,50.6,380,380,{},"{""⇄""}",{},"{{""x"", ""⇄"", ""y""}}","{""RightArrowLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightArrowLeftArrow[x, y]",Binary,Infix,None,False,
RightTeeArrow,RightTeeArrow,340,270,270,,50.6,380,380,{},"{""↦""}",{},"{{""x"", ""↦"", ""y""}}","{""RightTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightTeeArrow[x, y]",Binary,Infix,None,False,
RightTeeVector,RightTeeVector,340,270,270,,50.6,380,380,{},"{""⥛""}",{},"{{""x"", ""⥛"", ""y""}}","{""RightTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","RightTeeVector[x, y]",Binary,Infix,None,False,
RightVector,RightVector,340,270,270,,50.6,380,380,{},"{""⇀""}",{},"{{""x"", ""⇀"", ""y""}}","{""RightVector"", ""["", ""x"", "","", ""y"", ""]""}","RightVector[x, y]",Binary,Infix,None,False,
RightVectorBar,RightVectorBar,340,270,270,,50.6,380,380,{},"{""⥓""}",{},"{{""x"", ""⥓"", ""y""}}","{""RightVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","RightVectorBar[x, y]",Binary,Infix,None,False,
ShortLeftArrow,ShortLeftArrow,340,270,270,,50.6,380,380,{},"{""""}",{},"{{""x"", """", ""y""}}","{""ShortLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","ShortLeftArrow[x, y]",Binary,Infix,None,False,
ShortRightArrow,ShortRightArrow,340,270,270,,50.6,380,380,{},"{""""}",{},"{{""x"", """", ""y""}}","{""ShortRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","ShortRightArrow[x, y]",Binary,Infix,None,False,
UpperLeftArrow,UpperLeftArrow,340,270,270,,50.6,380,380,{},"{""↖""}",{},"{{""x"", ""↖"", ""y""}}","{""UpperLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","UpperLeftArrow[x, y]",Binary,Infix,None,False,
UpperRightArrow,UpperRightArrow,340,270,270,,50.6,380,380,{},"{""↗""}",{},"{{""x"", ""↗"", ""y""}}","{""UpperRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","UpperRightArrow[x, y]",Binary,Infix,None,False,
SameQ,SameQ,330,290,260,51,51,,370,{},"{""===""}",{},"{{""expr1"", ""==="", ""expr2""}}","{""SameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}","SameQ[expr1, expr2]",Binary,Infix,None,True,
UnsameQ,UnsameQ,330,290,260,51,51,,370,{},"{""=!=""}",{},"{{""expr1"", ""=!="", ""expr2""}}","{""UnsameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UnsameQ[expr1, expr2]",Binary,Infix,None,True,
Distributed,Distributed,320,250,250,,52,360,360,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Distributed"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Distributed[expr1, expr2]",Binary,Infix,None,True,
Element,Element,320,250,250,52,52,360,360,{},"{""∈""}",{},"{{""expr1"", ""∈"", ""expr2""}}","{""Element"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Element[expr1, expr2]",Binary,Infix,None,True,
NotElement,NotElement,320,250,250,52,52,360,360,{},"{""∉""}",{},"{{""expr1"", ""∉"", ""expr2""}}","{""NotElement"", ""["", ""expr1"", "","", ""expr2"", ""]""}","NotElement[expr1, expr2]",Binary,Infix,None,True,
NotReverseElement,NotReverseElement,320,250,250,,52,360,360,{},"{""∌""}",{},"{{""x"", ""∌"", ""y""}}","{""NotReverseElement"", ""["", ""x"", "","", ""y"", ""]""}","NotReverseElement[x, y]",Binary,Infix,None,False,
NotSquareSubset,NotSquareSubset,320,250,250,,52,360,360,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotSquareSubset"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSubset[x, y]",Binary,Infix,None,False,
NotSquareSubsetEqual,NotSquareSubsetEqual,320,250,250,,52,360,360,{},"{""⋢""}",{},"{{""x"", ""⋢"", ""y""}}","{""NotSquareSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSubsetEqual[x, y]",Binary,Infix,None,False,
NotSquareSuperset,NotSquareSuperset,320,250,250,,52,360,360,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotSquareSuperset"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSuperset[x, y]",Binary,Infix,None,False,
NotSquareSupersetEqual,NotSquareSupersetEqual,320,250,250,,52,360,360,{},"{""⋣""}",{},"{{""x"", ""⋣"", ""y""}}","{""NotSquareSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSupersetEqual[x, y]",Binary,Infix,None,False,
NotSubset,NotSubset,320,250,250,,52,360,360,{},"{""⊄""}",{},"{{""x"", ""⊄"", ""y""}}","{""NotSubset"", ""["", ""x"", "","", ""y"", ""]""}","NotSubset[x, y]",Binary,Infix,None,False,
NotSubsetEqual,NotSubsetEqual,320,250,250,,52,360,360,{},"{""⊈""}",{},"{{""x"", ""⊈"", ""y""}}","{""NotSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSubsetEqual[x, y]",Binary,Infix,None,False,
NotSuperset,NotSuperset,320,250,250,,52,360,360,{},"{""⊅""}",{},"{{""x"", ""⊅"", ""y""}}","{""NotSuperset"", ""["", ""x"", "","", ""y"", ""]""}","NotSuperset[x, y]",Binary,Infix,None,False,
NotSupersetEqual,NotSupersetEqual,320,250,250,,52,360,360,{},"{""⊉""}",{},"{{""x"", ""⊉"", ""y""}}","{""NotSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSupersetEqual[x, y]",Binary,Infix,None,False,
ReverseElement,ReverseElement,320,250,250,,52,360,360,{},"{""∋""}",{},"{{""x"", ""∋"", ""y""}}","{""ReverseElement"", ""["", ""x"", "","", ""y"", ""]""}","ReverseElement[x, y]",Binary,Infix,None,False,
SquareSubset,SquareSubset,320,250,250,,52,360,360,{},"{""⊏""}",{},"{{""x"", ""⊏"", ""y""}}","{""SquareSubset"", ""["", ""x"", "","", ""y"", ""]""}","SquareSubset[x, y]",Binary,Infix,None,False,
SquareSubsetEqual,SquareSubsetEqual,320,250,250,,52,360,360,{},"{""⊑""}",{},"{{""x"", ""⊑"", ""y""}}","{""SquareSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SquareSubsetEqual[x, y]",Binary,Infix,None,False,
SquareSuperset,SquareSuperset,320,250,250,,52,360,360,{},"{""⊐""}",{},"{{""x"", ""⊐"", ""y""}}","{""SquareSuperset"", ""["", ""x"", "","", ""y"", ""]""}","SquareSuperset[x, y]",Binary,Infix,None,False,
SquareSupersetEqual,SquareSupersetEqual,320,250,250,,52,360,360,{},"{""⊒""}",{},"{{""x"", ""⊒"", ""y""}}","{""SquareSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SquareSupersetEqual[x, y]",Binary,Infix,None,False,
Subset,Subset,320,250,250,52,52,360,360,{},"{""⊂""}",{},"{{""expr1"", ""⊂"", ""expr2""}}","{""Subset"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Subset[expr1, expr2]",Binary,Infix,None,False,
SubsetEqual,SubsetEqual,320,250,250,,52,360,360,{},"{""⊆""}",{},"{{""x"", ""⊆"", ""y""}}","{""SubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SubsetEqual[x, y]",Binary,Infix,None,False,
Superset,Superset,320,250,250,52,52,360,360,{},"{""⊃""}",{},"{{""expr1"", ""⊃"", ""expr2""}}","{""Superset"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Superset[expr1, expr2]",Binary,Infix,None,False,
SupersetEqual,SupersetEqual,320,250,250,,52,360,360,{},"{""⊇""}",{},"{{""x"", ""⊇"", ""y""}}","{""SupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SupersetEqual[x, y]",Binary,Infix,None,False,
Exists,Exists,310,240,240,53,53,350,350,"{""∃""}",{},{},"{{""∃"", ""expr""}}","{""Exists"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
ForAll,ForAll,310,240,240,53,53,350,350,"{""∀""}",{},{},"{{""∀"", ""expr""}}","{""ForAll"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
NotExists,NotExists,310,240,240,53,53,350,350,"{""∄""}",{},{},"{{""∄"", ""expr""}}","{""NotExists"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
Not,Not,300,230,230,54,54,340,340,"{""!"", ""¬""}",{},{},"{{""!"", ""expr""}, {""¬"", ""expr""}}","{""Not"", ""["", ""expr"", ""]""}",Not[expr],Unary,Prefix,Right,True,
And,And,290,215,220,55,55,330,330,{},"{""&&"", ""∧""}",{},"{{""expr1"", ""&&"", ""expr2""}, {""expr1"", ""∧"", ""expr2""}}","{""And"", ""["", ""expr1"", "","", ""expr2"", ""]""}","And[expr1, expr2]",Binary,Infix,None,True,
Nand,Nand,290,215,220,55,55,330,330,{},"{""⊼""}",{},"{{""expr1"", ""⊼"", ""expr2""}}","{""Nand"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Nand[expr1, expr2]",Binary,Infix,None,True,
Xnor,Xnor,280,215,215,56,56,325,325,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Xnor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Xnor[expr1, expr2]",Binary,Infix,None,True,
Xor,Xor,280,215,215,56,56,325,325,{},"{""⊻""}",{},"{{""expr1"", ""⊻"", ""expr2""}}","{""Xor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Xor[expr1, expr2]",Binary,Infix,None,True,
Nor,Nor,270,215,210,57,57,320,320,{},"{""⊽""}",{},"{{""expr1"", ""⊽"", ""expr2""}}","{""Nor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Nor[expr1, expr2]",Binary,Infix,None,True,
Or,Or,270,215,210,57,57,320,320,{},"{""||"", ""∨""}",{},"{{""expr1"", ""||"", ""expr2""}, {""expr1"", ""∨"", ""expr2""}}","{""Or"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Or[expr1, expr2]",Binary,Infix,None,True,
Equivalent,Equivalent,260,205,205,58,58,315,315,{},"{""⧦""}",{},"{{""expr1"", ""⧦"", ""expr2""}}","{""Equivalent"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Equivalent[expr1, expr2]",Binary,Infix,None,True,
