Unofficial Name,Name,Actual Precedence,Precedence[ ],Precedence[ ] Corrected,WolframLanguageData[ ],WolframLanguageData[ ] Corrected,UnicodeCharacters.tr,UnicodeCharacters.tr Corrected,N Tokens,L Tokens,O Tokens,Usage,Parse,FullForm,Arity,Affix,Associativity,Meaningful,Comments
MinLimit,MinLimit,410,320,320,,45.5,440,440,"{""""}",{},{},"{{"""", ""expr""}}","{""MinLimit"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
MinusPlus,MinusPlus,400,310,310,46,46,430,430,{},"{""∓""}",{},"{{""expr1"", ""∓"", ""expr2""}}","{""MinusPlus"", ""["", ""expr1"", "","", ""expr2"", ""]""}","MinusPlus[expr1, expr2]",Binary,Infix,Left,False,
Plus,Plus,400,310,310,46,46,,430,{},"{""+"", """"}",{},"{{""expr1"", ""+"", ""expr2""}, {""expr1"", """", ""expr2""}}","{""Plus"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Plus[expr1, expr2]",Binary,Infix,None,True,Operator Notations includes usages with invisible unicode characters.
PlusMinus,PlusMinus,400,310,310,46,46,430,430,{},"{""±""}",{},"{{""expr1"", ""±"", ""expr2""}}","{""PlusMinus"", ""["", ""expr1"", "","", ""expr2"", ""]""}","PlusMinus[expr1, expr2]",Binary,Infix,Left,False,
Subtract,Subtract,400,310,310,46,46,430,430,{},"{""-"", ""−""}",{},"{{""expr1"", ""-"", ""expr2""}, {""expr1"", ""−"", ""expr2""}}","{""Subtract"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Plus[expr1, Times[-1, expr2]]",Binary,Infix,Left,True,Operator Notations includes usages with invisible unicode characters.
Intersection,Intersection,390,305,305,47,47,420,420,{},"{""⋂""}",{},"{{""expr1"", ""⋂"", ""expr2""}}","{""Intersection"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Intersection[expr1, expr2]",Binary,Infix,None,True,
Span,Span,390,305,305,49,47,,420,"{"";;""}","{"";;""}","{"";;""}","{{""i"", "";;"", ""j"", "";;"", ""k""}}","{""Span"", ""["", ""i"", "","", ""j"", "","", ""k"", ""]""}","Span[i, j, k]",Ternary,Infix,Non,True,
SquareIntersection,SquareIntersection,390,305,305,,47,420,420,{},"{""⊓""}",{},"{{""x"", ""⊓"", ""y""}}","{""SquareIntersection"", ""["", ""x"", "","", ""y"", ""]""}","SquareIntersection[x, y]",Binary,Infix,None,False,
SquareUnion,SquareUnion,380,300,300,,48,410,410,{},"{""⊔""}",{},"{{""x"", ""⊔"", ""y""}}","{""SquareUnion"", ""["", ""x"", "","", ""y"", ""]""}","SquareUnion[x, y]",Binary,Infix,None,False,
Union,Union,380,300,300,48,48,410,410,{},"{""⋃""}",{},"{{""expr1"", ""⋃"", ""expr2""}}","{""Union"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Union[expr1, expr2]",Binary,Infix,None,True,
